Article,Year,Main Contribution
Liu2020,2020,Deep learning-based SQLi testing tool for generating semantically sophisticated test cases.
Boussaa2020,2020,Proposes a metamorphic testing approach to automatically detect inconsistencies in code generators.
Siqueira2021,2021,"Systematic literature review on testing adaptive and context-aware systems, characterizing approaches, challenges, and trends."
Akli2023,2023,Introduces the first few-shot learning approach using CodeBERT and Siamese networks to classify flaky tests.
Cardoso2023,2023,Evaluating DRL-MOBTEST's performance in generating test cases for Android apps.
Ding2023-1,2023,Introduces a deep learning pipeline for cross-function null pointer detection in C++.
Ferrari2023,2023,"Investigation of how model-based test coverage translates to code coverage, identifying limitations in MBT approaches."
Gomez-Abajo2023,2023,Model-driven engineering approach to automate the construction of metamorphic testing environments for specific domains.
He2023-2,2023,Proposes a learning-based approach that uses property-specific vectors to control code generation security.
KwonSunjaeandJang2023-1,2023,Proposes the first CodeBERT-based Just-In-Time defect prediction model for edge-cloud systems.
Marques2023,2023,SelectNLTest: A module to remove duplicate test scripts and improve readability of test cases using NLP techniques.
Nguyen2023,2023,Proposes a GPT-based approach for automated API test generation.
Tihanyi2023,2023,Creation of a large collection of AI-generated C programs with vulnerability classification using formal verification.
Zimmermann2023,2023,Proposes a GUI testing method using GPT-3 to interpret natural language test cases.
Chen2024-1,2024,Introduces ChatUniTest an LLM-based unit test generation framework with adaptive context and validation-repair mechanisms.
Feng2024,2024,Proposing a cost-effective UI automation testing approach combining LLMs with retrieval-augmented generation and machine learning.
He2024-3,2024,"Introducing UniTSyn, a large-scale multilingual dataset of 2.7 million focal-test pairs that enhances LLMs' unit test generation."
Hoffmann2024-1,2024,Demonstrating the effectiveness of fine-tuned smaller LLMs for mobile app test generation.
Jiang2024-2,2024,Conduct the first systematic comparison between LLMs and constraint-based tools for directed test input generation.
Jorgensen2024,2024,Proposing an LLM-based approach to automatically generate test cases for genetic programming agents.
Kang2023,2023,"Introducing LIBRO, an LLM-based framework that automatically generates bug-reproducing tests from general bug reports."
Liu2024-2,2024,Proposes an LLM-based mobile GUI testing framework that formulates testing as a Q\&A task.
Liu2024-5,2024,Developing a domain-adapted LLM for VLSI design that outperforms general models on chip design tasks.
Pornphol2024,2024,Verification of relational completeness in SQL codes generated by ChatGPT.
Salcedo2024,2024,Demonstrates GPT-4's potential to accelerate vector processor SoC design and verification.
Vito2024,2024,"Exploring LLM applications for automating software engineering tasks, specifically issue report classification and test scenario generation."
Shi2024-1,2024,Demonstrate through user studies that preemptive prompting in LLM-assisted test case development improves branch coverage.
Su2024-1,2024,Proposing a novel approach combining LLMs and knowledge graphs  to generate highly feasible test scenarios.
Wang2024-1,2024,Proposes a method that improves LLM-based unit test generation for complex Java methods by decomposing them into slices.
Wang2024-6,2024,Provides a comprehensive survey of studies on LLM applications in software testing.
Widyasari2024,2024,Demonstrating that diverse LLMs outperform ChatGPT in Software Quality Assurance tasks.
Xu2024-3,2024,Proposes an LLM-based approach that automatically deduces reusable input transformations from hard-coded test cases.
Xue2024-1,2024,"Proposes LLM4Fin, a fully automated approach combining LLMs and algorithmic methods to generate high-coverage FinTech test cases."
